Treat,rep,inv.sp,res.sp,res.div,inv.t0,res.t0,inv.count,res.count
17,c,SR,AA,1,26666.66667,2666666.667,1004,192
17,d,SR,AA,1,26666.66667,2666666.667,904,160
17,e,SR,AA,1,26666.66667,2666666.667,656,184
17,f,SR,AA,1,26666.66667,2666666.667,740,236
18,a,VG,PC,1,26666.66667,2666666.667,148,160
18,b,VG,PC,1,26666.66667,2666666.667,140,184
18,c,VG,PC,1,26666.66667,2666666.667,164,180
18,d,VG,PC,1,26666.66667,2666666.667,172,162
18,e,VG,PC,1,26666.66667,2666666.667,126,166
18,f,VG,PC,1,26666.66667,2666666.667,144,130
19,a,SR,PC,1,26666.66667,2666666.667,1024,276
19,b,SR,PC,1,26666.66667,2666666.667,994,126
19,c,SR,PC,1,26666.66667,2666666.667,844,96
19,d,SR,PC,1,26666.66667,2666666.667,732,246
19,e,SR,PC,1,26666.66667,2666666.667,836,144
19,f,SR,PC,1,26666.66667,2666666.667,819,138
20,a,SR,VG,1,26666.66667,2666666.667,758,36
20,b,SR,VG,1,26666.66667,2666666.667,274,22
20,c,SR,VG,1,26666.66667,2666666.667,420,54
20,d,SR,VG,1,26666.66667,2666666.667,586,22
20,e,SR,VG,1,26666.66667,2666666.667,528,68
20,f,SR,VG,1,26666.66667,2666666.667,400,44
21,a,OD,AA.PC,2,26666.66667,2666666.667,80,184
21,b,OD,AA.PC,2,26666.66667,2666666.667,50,190
21,c,OD,AA.PC,2,26666.66667,2666666.667,126,258
21,d,OD,AA.PC,2,26666.66667,2666666.667,50,172
21,e,OD,AA.PC,2,26666.66667,2666666.667,86,216
21,f,OD,AA.PC,2,26666.66667,2666666.667,70,178
22,a,OD,AA.VG,2,26666.66667,2666666.667,116,158
22,b,OD,AA.VG,2,26666.66667,2666666.667,146,122
22,c,OD,AA.VG,2,26666.66667,2666666.667,108,50
22,d,OD,AA.VG,2,26666.66667,2666666.667,78,26
22,e,OD,AA.VG,2,26666.66667,2666666.667,160,90
22,f,OD,AA.VG,2,26666.66667,2666666.667,108,64
23,a,OD,AA.SR,2,26666.66667,2666666.667,148,774
23,b,OD,AA.SR,2,26666.66667,2666666.667,172,1124
23,c,OD,AA.SR,2,26666.66667,2666666.667,184,696
23,d,OD,AA.SR,2,26666.66667,2666666.667,76,644
23,e,OD,AA.SR,2,26666.66667,2666666.667,184,568
23,f,OD,AA.SR,2,26666.66667,2666666.667,132,884
24,a,OD,PC.VG,2,26666.66667,2666666.667,66,304
24,b,OD,PC.VG,2,26666.66667,2666666.667,84,216
24,c,OD,PC.VG,2,26666.66667,2666666.667,52,286
24,d,OD,PC.VG,2,26666.66667,2666666.667,68,202
24,e,OD,PC.VG,2,26666.66667,2666666.667,94,254
24,f,OD,PC.VG,2,26666.66667,2666666.667,64,200
25,a,OD,PC.SR,2,26666.66667,2666666.667,34,814
25,b,OD,PC.SR,2,26666.66667,2666666.667,30,790
25,c,OD,PC.SR,2,26666.66667,2666666.667,76,718
25,d,OD,PC.SR,2,26666.66667,2666666.667,72,754
25,e,OD,PC.SR,2,26666.66667,2666666.667,42,662
25,f,OD,PC.SR,2,26666.66667,2666666.667,76,868
26,a,OD,VG.SR,2,26666.66667,2666666.667,132,346
26,b,OD,VG.SR,2,26666.66667,2666666.667,136,370
26,c,OD,VG.SR,2,26666.66667,2666666.667,166,530
26,d,OD,VG.SR,2,26666.66667,2666666.667,250,336
26,e,OD,VG.SR,2,26666.66667,2666666.667,196,386
26,f,OD,VG.SR,2,26666.66667,2666666.667,228,378
27,a,AA,PC.VG,2,26666.66667,2666666.667,4,222
27,b,AA,PC.VG,2,26666.66667,2666666.667,6,162
27,c,AA,PC.VG,2,26666.66667,2666666.667,15,184
27,d,AA,PC.VG,2,26666.66667,2666666.667,12,237
27,e,AA,PC.VG,2,26666.66667,2666666.667,23,236
27,f,AA,PC.VG,2,26666.66667,2666666.667,11,197
28,a,AA,PC.SR,2,26666.66667,2666666.667,52,776
28,b,AA,PC.SR,2,26666.66667,2666666.667,38,740
28,c,AA,PC.SR,2,26666.66667,2666666.667,60,762
28,d,AA,PC.SR,2,26666.66667,2666666.667,56,604
28,e,AA,PC.SR,2,26666.66667,2666666.667,80,856
28,f,AA,PC.SR,2,26666.66667,2666666.667,62,818
29,a,AA,VG.SR,2,26666.66667,2666666.667,40,550
29,b,AA,VG.SR,2,26666.66667,2666666.667,30,426
29,c,AA,VG.SR,2,26666.66667,2666666.667,150,568
29,d,AA,VG.SR,2,26666.66667,2666666.667,100,572
29,e,AA,VG.SR,2,26666.66667,2666666.667,76,492
29,f,AA,VG.SR,2,26666.66667,2666666.667,112,674
30,a,PC,VG.SR,2,26666.66667,2666666.667,43,1016
30,b,PC,VG.SR,2,26666.66667,2666666.667,66,796
30,c,PC,VG.SR,2,26666.66667,2666666.667,62,730
30,d,PC,VG.SR,2,26666.66667,2666666.667,30,726
30,e,PC,VG.SR,2,26666.66667,2666666.667,32,572
30,f,PC,VG.SR,2,26666.66667,2666666.667,68,710
31,a,AA,OD.PC,2,26666.66667,2666666.667,42,244
31,b,AA,OD.PC,2,26666.66667,2666666.667,126,223
31,c,AA,OD.PC,2,26666.66667,2666666.667,222,264
31,d,AA,OD.PC,2,26666.66667,2666666.667,54,240
31,e,AA,OD.PC,2,26666.66667,2666666.667,58,236
31,f,AA,OD.PC,2,26666.66667,2666666.667,72,198
32,a,AA,OD.VG,2,26666.66667,2666666.667,16,472
32,b,AA,OD.VG,2,26666.66667,2666666.667,16,250
32,c,AA,OD.VG,2,26666.66667,2666666.667,4,334
32,d,AA,OD.VG,2,26666.66667,2666666.667,4,356
32,e,AA,OD.VG,2,26666.66667,2666666.667,8,190
32,f,AA,OD.VG,2,26666.66667,2666666.667,8,264
33,a,AA,OD.SR,2,26666.66667,2666666.667,156,792
33,b,AA,OD.SR,2,26666.66667,2666666.667,324,796
33,c,AA,OD.SR,2,26666.66667,2666666.667,156,396
33,d,AA,OD.SR,2,26666.66667,2666666.667,92,792
33,e,AA,OD.SR,2,26666.66667,2666666.667,32,384
33,f,AA,OD.SR,2,26666.66667,2666666.667,68,456
34,a,PC,OD.VG,2,26666.66667,2666666.667,136,282
34,b,PC,OD.VG,2,26666.66667,2666666.667,106,318
34,c,PC,OD.VG,2,26666.66667,2666666.667,62,228
34,d,PC,OD.VG,2,26666.66667,2666666.667,34,404
34,e,PC,OD.VG,2,26666.66667,2666666.667,80,220
34,f,PC,OD.VG,2,26666.66667,2666666.667,50,216
35,a,PC,OD.SR,2,26666.66667,2666666.667,62,920
35,b,PC,OD.SR,2,26666.66667,2666666.667,42,926
35,c,PC,OD.SR,2,26666.66667,2666666.667,120,672
35,d,PC,OD.SR,2,26666.66667,2666666.667,146,544
35,e,PC,OD.SR,2,26666.66667,2666666.667,34,772
35,f,PC,OD.SR,2,26666.66667,2666666.667,92,752
36,a,VG,OD.SR,2,26666.66667,2666666.667,44,382
36,b,VG,OD.SR,2,26666.66667,2666666.667,74,430
36,c,VG,OD.SR,2,26666.66667,2666666.667,92,478
36,d,VG,OD.SR,2,26666.66667,2666666.667,38,548
36,e,VG,OD.SR,2,26666.66667,2666666.667,62,770
36,f,VG,OD.SR,2,26666.66667,2666666.667,52,296
37,a,PC,AA.VG,2,26666.66667,2666666.667,92,164
37,b,PC,AA.VG,2,26666.66667,2666666.667,78,140
37,c,PC,AA.VG,2,26666.66667,2666666.667,81,142
37,d,PC,AA.VG,2,26666.66667,2666666.667,98,150
37,e,PC,AA.VG,2,26666.66667,2666666.667,42,104
37,f,PC,AA.VG,2,26666.66667,2666666.667,104,138
38,a,PC,AA.SR,2,26666.66667,2666666.667,50,736
38,b,PC,AA.SR,2,26666.66667,2666666.667,72,678
38,c,PC,AA.SR,2,26666.66667,2666666.667,82,566
38,d,PC,AA.SR,2,26666.66667,2666666.667,82,770
38,e,PC,AA.SR,2,26666.66667,2666666.667,58,662
38,f,PC,AA.SR,2,26666.66667,2666666.667,126,598
39,a,VG,AA.SR,2,26666.66667,2666666.667,54,846
39,b,VG,AA.SR,2,26666.66667,2666666.667,36,710
39,c,VG,AA.SR,2,26666.66667,2666666.667,10,1100
39,d,VG,AA.SR,2,26666.66667,2666666.667,68,664
39,e,VG,AA.SR,2,26666.66667,2666666.667,38,600
