"","file.path","folder.name","file.name","raw.length","trimmed.length","trim.start","trim.finish","raw.secondary.peaks","trimmed.secondary.peaks","raw.mean.quality","trimmed.mean.quality","raw.min.quality","trimmed.min.quality"
"1","data/sanger/3_1_k_515F.ab1","sanger","3_1_k_515F.ab1",345,224,19,242,41,0,41.6333333333333,58.375,3,12
"2","data/sanger/3_13_g_515F.ab1","sanger","3_13_g_515F.ab1",287,225,22,246,18,0,30.7304347826087,40.6844444444444,2,4
"3","data/sanger/3_15_d_515F.ab1","sanger","3_15_d_515F.ab1",258,223,18,240,6,0,51.8129770992366,58.1165919282511,3,14
"4","data/sanger/3_15_e_515F.ab1","sanger","3_15_e_515F.ab1",262,223,19,241,9,0,51.5643939393939,58.6457399103139,4,10
"5","data/sanger/3_15_g_515F.ab1","sanger","3_15_g_515F.ab1",259,224,19,242,4,0,52.5153846153846,58.6473214285714,3,16
"6","data/sanger/3_15_k_515F.ab1","sanger","3_15_k_515F.ab1",316,216,27,242,18,0,40.8254847645429,57.0787037037037,2,8
"7","data/sanger/3_15_z_515F.ab1","sanger","3_15_z_515F.ab1",258,223,19,241,5,0,51.8544061302682,58.0807174887892,4,10
"8","data/sanger/3_17_d_515F.ab1","sanger","3_17_d_515F.ab1",231,0,0,0,163,0,10.6536796536797,NA,3,NA
"9","data/sanger/3_17_e_515F.ab1","sanger","3_17_e_515F.ab1",354,221,20,240,67,0,41.0138888888889,57.1447963800905,2,9
"10","data/sanger/3_17_z_515F.ab1","sanger","3_17_z_515F.ab1",223,203,19,221,3,1,50.9557522123894,55.4975369458128,3,10
"11","data/sanger/3_18_d_515F.ab1","sanger","3_18_d_515F.ab1",334,221,20,240,56,0,42.0352941176471,57.7466063348416,3,13
"12","data/sanger/3_18_e_515F.ab1","sanger","3_18_e_515F.ab1",272,3,132,134,148,1,17.4852941176471,43,3,43
